birth,death,href,name,age,countries,country
1821.0,1896.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Seidel.html,Seidel,75.0,"['DE', 'US', 'IT', 'NL']",Germany
1822.0,1900.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Bertrand.html,Bertrand,78.0,"['FR', 'US', 'GB', 'TR', 'IT', 'NL', 'SN', 'DE']",France
1822.0,1888.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Clausius.html,Clausius,66.0,"['DE', 'US', 'CF', 'FR', 'PL', 'GB', 'NL', 'AT']",Germany
1822.0,1911.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Galton.html,Galton,89.0,"['GB', 'US', 'NA', 'SD', 'SY', 'BW', 'NL', 'CA', 'AT', 'DO', 'GR', 'DE', 'ZM', 'IN']",United Kingdom
1822.0,1901.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Hermite.html,Hermite,79.0,"['FR', 'ES', 'NL', 'GB', 'US', 'DE', 'HU', 'GE']",France
1822.0,1880.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Lissajous.html,Lissajous,58.0,"['FR', 'GB', 'US', 'NL', 'SN']",France
1822.0,1894.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Lonie.html,Lonie,72.0,"['US', 'GB', 'NL', 'UK', 'AU']",United States
1823.0,1912.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Amsler.html,Amsler,89.0,"['CH', 'US', 'FR', 'NL', 'DE', 'AT', 'SZ']",Switzerland
1823.0,1892.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Betti.html,Betti,69.0,"['IT', 'US', 'AT', 'FR', 'GB', 'JO', 'DE', 'SE', 'CH', 'NL', 'AR', 'IN']",Italy
1823.0,1909.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Blackburn.html,Blackburn,86.0,"['GB', 'US', 'JM', 'DZ', 'ES', 'IT', 'GR', 'IS', 'NL', 'FR']",United Kingdom
1823.0,1885.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Davidov.html,Davidov,62.0,"['RU', 'US', 'LV', 'NL', 'TR', 'DE']",Russian Federation
1823.0,1852.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Eisenstein.html,Eisenstein,29.0,"['DE', 'US', 'CA', 'IE', 'GB', 'FR', 'NL']",Germany
1823.0,1886.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Houel.html,Houel,63.0,"['GH', 'FR', 'HU', 'IT', 'NL', 'US']",Ghana
1823.0,1891.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Kronecker.html,Kronecker,68.0,"['DE', 'US', 'PL', 'IT', 'TR', 'CH', 'NL', 'KG', 'FR', 'GB', 'BE', 'GR', 'HU']",Germany
1823.0,1901.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Schlomilch.html,Schlomilch,78.0,"['DE', 'US', 'NL', 'AT', 'SE']",Germany
1824.0,1904.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Allman.html,Allman,80.0,"['IE', 'GR', 'US', 'GB', 'AU', 'ZA', 'EG', 'JM', 'DE', 'NL', 'IT']",Ireland
1824.0,1897.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Brioschi.html,Brioschi,73.0,"['IT', 'US', 'DE', 'NL', 'FR', 'GB']",Italy
1824.0,1873.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Codazzi.html,Codazzi,49.0,"['IT', 'US', 'FR', 'NL', 'GB', 'EE']",Italy
1824.0,1861.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Dase.html,Dase,37.0,"['DE', 'US', 'AT', 'GB', 'NL', 'TR']",Germany
1824.0,1887.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Kirchhoff.html,Kirchhoff,63.0,"['DE', 'US', 'RU', 'GB', 'NL', 'FR']",Germany
1824.0,1907.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Thomson.html,Thomson,83.0,"['GB', 'US', 'FR', 'CF', 'IE', 'UY', 'NL', 'AU']",United Kingdom
1825.0,1898.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Balmer.html,Balmer,73.0,"['CH', 'US', 'DE', 'NL', 'GB']",Switzerland
1825.0,1903.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Bjerknes_Carl.html,"Bjerknes, Carl",78.0,"['NO', 'US', 'NL', 'GB', 'DK', 'FR']",Norway
1825.0,1888.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Faa_di_Bruno.html,Faa di Bruno,63.0,"['IT', 'FR', 'US', 'GB', 'NL', 'DE', 'PR', 'AT', 'IN', 'ZA']",Italy
1825.0,1883.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Spottiswoode.html,Spottiswoode,58.0,"['GB', 'IN', 'IE', 'US', 'FR', 'RU', 'HR', 'HU', 'IT', 'NL', 'PH']",United Kingdom
1825.0,1912.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Vashchenko.html,Vashchenko,87.0,"['US', 'UA', 'RU', 'FR', 'NL']",United States
1825.0,1900.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Walker_John.html,"Walker, John",75.0,"['US', 'IE', 'CA', 'GB', 'NL', 'UK']",United States
1826.0,1894.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Battaglini.html,Battaglini,68.0,"['IT', 'US', 'JO', 'FR', 'NL', 'TR', 'GH']",Italy
1826.0,1915.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Crofton.html,Crofton,89.0,"['US', 'IE', 'GB', 'TM', 'IT', 'FR', 'NL', 'TR']",United States
1826.0,1895.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Meissel.html,Meissel,69.0,"['DE', 'US', 'HK', 'NL', 'GB', 'BE']",Germany
1826.0,1866.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Riemann.html,Riemann,40.0,"['US', 'DE', 'IT', 'NL', 'PA']",United States
1826.0,1883.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Smith.html,Smith,57.0,"['GB', 'IE', 'FR', 'US', 'IT', 'DE', 'NL', 'TM']",United Kingdom
1826.0,1896.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Wiener_Christian.html,"Wiener, Christian",70.0,"['DE', 'US', 'AT', 'GB', 'NL', 'FR']",Germany
1827.0,1897.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Martin_Lajos.html,"Martin, Lajos",70.0,"['SK', 'HU', 'US', 'AT', 'GB', 'RO', 'IT', 'NL', 'RU', 'DE']",Slovakia
1827.0,1884.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Merrifield.html,Merrifield,57.0,"['US', 'GB', 'IT', 'NL', 'CA']",United States
1827.0,1913.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Roberts.html,Roberts,86.0,"['GB', 'US', 'NL']",United Kingdom
1827.0,1903.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Watson_Henry.html,"Watson, Henry",76.0,"['GB', 'US', 'NL', 'JM']",United Kingdom
1828.0,1893.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Bruno.html,Bruno,65.0,"['IT', 'US', 'NL']",Italy
1828.0,1881.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Peterson.html,Peterson,53.0,"['RU', 'LV', 'US', 'EE', 'FR', 'NL', 'UA', 'DE']",Russian Federation
1829.0,1920.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Cantor_Moritz.html,"Cantor, Moritz",91.0,"['DE', 'US', 'FR', 'NL', 'RO', 'PA', 'UK', 'AT', 'EG', 'GR']",Germany
1829.0,1900.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Christoffel.html,Christoffel,71.0,"['DE', 'US', 'FR', 'CA', 'NL', 'GB']",Germany
1829.0,1912.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Ferguson.html,Ferguson,83.0,"['US', 'GB', 'DE', 'NL']",United States
1829.0,1903.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Ferrers.html,Ferrers,74.0,"['GB', 'US', 'NL']",United Kingdom
1829.0,1892.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Schroeter.html,Schroeter,63.0,"['DE', 'US', 'RU', 'PL', 'NL']",Germany
1829.0,1891.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Wolstenholme.html,Wolstenholme,62.0,"['GB', 'US', 'SZ', 'CH', 'NL']",United Kingdom
1830.0,1903.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Cremona.html,Cremona,73.0,"['IT', 'US', 'AT', 'GB', 'FR', 'NL']",Italy
1830.0,1892.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Hirst.html,Hirst,62.0,"['US', 'GB', 'IT', 'DE', 'FR', 'CA', 'RU', 'AT', 'NL', 'UK']",United States
1830.0,1920.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Sprague.html,Sprague,90.0,"['GB', 'US', 'TM', 'NL', 'PA']",United Kingdom
1831.0,1906.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Beale.html,Beale,75.0,"['GB', 'US', 'UK', 'FR', 'DE', 'CH', 'NL', 'TM', 'GR', 'IT']",United Kingdom
1831.0,1916.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Dedekind.html,Dedekind,85.0,"['DE', 'US', 'FR', 'CH', 'NL', 'IT', 'NO', 'SZ']",Germany
1831.0,1889.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Du_Bois-Reymond.html,Du Bois-Reymond,58.0,"['DE', 'FR', 'US', 'CH', 'NL', 'SZ', 'HU']",Germany
1831.0,1906.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Mannheim.html,Mannheim,75.0,"['DE', 'FR', 'ES', 'US', 'RU', 'NL', 'IN', 'GB', 'CZ']",Germany
1831.0,1879.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Maxwell.html,Maxwell,48.0,"['GB', 'US', 'NL', 'CA', 'CZ', 'UK', 'GR']",United Kingdom
1831.0,1907.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Routh.html,Routh,76.0,"['GB', 'CA', 'US', 'NL', 'ZA', 'TR', 'IE', 'IN']",United Kingdom
1831.0,1907.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Sidler.html,Sidler,76.0,"['CH', 'DE', 'SZ', 'US', 'FR', 'NL', 'CZ', 'GB']",Switzerland
1831.0,1901.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Tait.html,Tait,70.0,"['GB', 'CA', 'US', 'DE', 'IE', 'TR', 'DK', 'SE', 'NL', 'GR']",United Kingdom
1832.0,1916.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Boole_Mary.html,"Boole, Mary",84.0,"['TM', 'GB', 'FR', 'US', 'IE', 'AU', 'IN', 'ZA', 'JP', 'NL', 'GR', 'UK']",Turkmenistan
1832.0,1866.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Bour.html,Bour,34.0,"['FR', 'US', 'GB', 'NL']",France
1832.0,1898.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Dodgson.html,Dodgson,66.0,"['US', 'GB', 'UK', 'NL', 'CA', 'TR']",United States
1832.0,1912.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Fiedler_Wilhelm.html,"Fiedler, Wilhelm",80.0,"['DE', 'IT', 'CZ', 'US', 'TR', 'CH', 'NL', 'AT', 'FR', 'SZ']",Germany
1832.0,1903.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Lipschitz.html,Lipschitz,71.0,"['DE', 'US', 'RU', 'CA', 'NL']",Germany
1832.0,1925.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Neumann_Carl.html,"Neumann, Carl",93.0,"['DE', 'US', 'CH', 'BE', 'RU', 'JO', 'NL', 'GB', 'TR']",Germany
1832.0,1910.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Rouche.html,Rouche,78.0,"['FR', 'GB', 'ES', 'NL', 'US', 'AR']",France
1832.0,1918.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Sylow.html,Sylow,86.0,"['NO', 'DE', 'US', 'FR', 'NL', 'GB', 'DK', 'IT']",Norway
1832.0,1905.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Tucker_Robert.html,"Tucker, Robert",73.0,"['US', 'GB', 'AU', 'ES', 'PT', 'NL', 'CA', 'NZ']",United States
1832.0,1901.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Zehfuss.html,Zehfuss,69.0,"['US', 'DE', 'LV', 'GB', 'EE', 'NL', 'BE', 'FR', 'UK']",United States
1833.0,1872.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Clebsch.html,Clebsch,39.0,"['DE', 'US', 'RU', 'GB', 'NL']",Germany
1833.0,1915.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Delannoy.html,Delannoy,82.0,"['FR', 'BR', 'US', 'AT', 'DE', 'GB', 'DZ', 'NL', 'CA', 'IT']",France
1833.0,1905.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Folie.html,Folie,72.0,"['BE', 'NL', 'US', 'DE', 'FR']",Belgium
1833.0,1902.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Fuchs.html,Fuchs,69.0,"['DE', 'US', 'SK', 'PL', 'JO', 'GB', 'FR', 'NL', 'TR', 'UK', 'HU']",Germany
1834.0,1888.0,http://www-groups.dcs.st-and.ac.uk/Biographies/De_Forest.html,De Forest,54.0,"['US', 'AU', 'GB', 'IN', 'NL', 'CU']",United States
1834.0,1924.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Jack_William.html,"Jack, William",90.0,"['GB', 'US', 'NL']",United Kingdom
1834.0,1886.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Laguerre.html,Laguerre,52.0,"['FR', 'US', 'NL']",France
1834.0,1923.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Venn.html,Venn,89.0,"['GB', 'TR', 'US', 'NL', 'CA', 'IT']",United Kingdom
1835.0,1915.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Amringe.html,Amringe,80.0,"['US', 'GB', 'NL', 'GR', 'UK', 'IE', 'CI', 'CA', 'IM']",United States
1835.0,1900.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Beltrami.html,Beltrami,65.0,"['IT', 'US', 'FR', 'NL']",Italy
1835.0,1890.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Casorati.html,Casorati,55.0,"['IT', 'DE', 'FR', 'US', 'NL', 'CH']",Italy
